Symbol,Name,MktVal Co,DPS 25,DPS 24,DPS 23,DPS 22,DPS 21,DPS 20,DPS 19,DPS 18,DPS 17,DPS 16,DPS 15,DPS 14,DPS 13,DPS 12,DPS 11,DPS 10
ENPH,"Enphase Energy, Inc.","5,193.2",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A
ENR,"Energizer Holdings, Inc.","1,654.7",1.20,1.20,1.2,1.2,1.2,1.2,1.2,1.1,1.0,0.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ENS,EnerSys,"3,422.8",0.95,0.85,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.5,0.0,0.0,0.0,0.0
ENSG,"Ensign Group, Inc.","7,865.0",0.24,0.23,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
ENTA,"Enanta Pharmaceuticals, Inc.",161.2,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,0.0
ENTG,"Entegris, Inc.","13,739.5",0.40,0.40,0.4,0.3,0.3,0.3,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENVA,Enova International Inc,"2,882.4",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A
ENVX,Enovix Corporation,"2,983.7",0.00,0.00,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EOG,"EOG Resources, Inc.","64,228.2",3.71,5.89,8.9,5.0,1.5,1.1,0.8,0.7,0.7,0.7,0.6,0.4,0.3,0.3,0.3,0.3
EOLS,"Evolus, Inc.",593.2,0.00,0.00,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EOSE,"Eos Energy Enterprises, Inc. Class A","1,446.0",0.00,0.00,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EP,Empire Petroleum Corporation,166.5,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPAC,Enerpac Tool Group Corp Class A,"2,069.0",0.04,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EPAM,"EPAM Systems, Inc.","9,330.7",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A
EPC,Edgewell Personal Care Co.,"1,202.1",0.60,0.60,0.6,0.6,0.0,0.0,0.0,0.0,0.0,1.5,2.0,1.7,0.4,0.0,0.0,0.0
EPD,Enterprise Products Partners L.P.,"67,995.1",2.08,1.98,1.9,1.8,1.8,1.8,1.7,1.7,1.6,1.5,1.4,1.4,1.3,1.2,1.1,1.1
EPM,Evolution Petroleum Corporation,163.6,0.48,0.48,0.4,0.1,0.3,0.4,0.4,0.3,0.2,0.3,0.3,0.0,0.0,0.0,0.0,0.0
EPR,EPR Properties,"4,467.5",3.40,3.30,3.3,1.5,1.5,4.5,4.3,4.1,3.8,3.6,3.4,3.2,3.0,2.8,2.6,2.6
EPRT,"Essential Properties Realty Trust, Inc.","6,039.0",1.16,1.12,1.1,1.0,0.9,0.9,0.4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EPSN,Epsilon Energy Ltd.,145.3,0.25,0.25,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EQBK,"Equity Bancshares, Inc. Class A",697.6,0.54,0.44,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EQH,"Equitable Holdings, Inc.","16,085.2",0.94,0.86,0.8,0.7,0.7,0.6,0.3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
EQIX,"Equinix, Inc.","76,081.7",17.04,14.49,12.4,11.5,10.6,9.8,9.1,8.0,7.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0
EQR,Equity Residential,"25,520.8",2.70,2.65,2.5,2.4,2.4,2.3,2.2,2.0,2.0,2.2,2.0,1.6,1.4,1.4,1.4,1.6
EQT,EQT Corporation,"36,926.0",0.63,0.61,0.6,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.9,0.9,0.9
EQV,EQV Ventures Acquisition Corp. Class A,467.1,0.00,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ERAS,"Erasca, Inc.",424.9,0.00,0.00,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ERIE,Erie Indemnity Company Class A,"16,454.2",5.19,4.85,4.5,4.2,3.9,3.7,3.4,3.2,3.0,2.8,2.6,2.4,2.3,2.1,2.0,1.8
ERII,"Energy Recovery, Inc.",737.9,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,Eversource Energy,"24,030.6",2.86,2.70,2.6,2.4,2.3,2.1,2.0,1.9,1.8,1.7,1.6,1.5,1.3,1.1,1.0,1.0
ESAB,ESAB Corporation,"7,880.4",0.30,0.23,0.2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ESBA,Empire State Realty OP LP Series ES,"2,008.3",0.14,0.14,0.1,0.1,0.2,0.4,0.4,0.4,0.4,0.3,0.3,0.1,#N/A,#N/A,#N/A,#N/A
ESCA,"Escalade, Incorporated",168.5,0.60,0.60,0.6,0.6,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.3,0.3,0.1,0.0
ESE,ESCO Technologies Inc.,"5,067.8",0.32,0.32,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.0
ESEA,Euroseas Ltd.,346.3,2.40,2.00,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6,10.0,21.6,17.6,28.0
ESGH,"ESG, Inc.",163.2,0.00,0.00,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ESGL,ESGL Holdings Limited,125.4,0.00,0.00,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ESI,Element Solutions Inc,"5,994.7",0.32,0.32,0.3,0.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A
ESNT,Essent Group Ltd.,"5,647.1",1.12,1.00,0.9,0.7,0.6,0.3,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A
ESOA,Energy Services of America Corporation,162.8,0.06,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESP,Espey Mfg. & Electronics Corp.,140.0,0.68,0.35,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.9,1.9,1.9,2.4
ESPR,"Esperion Therapeutics, Inc.",231.9,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A
ESQ,"Esquire Financial Holdings, Inc.",846.7,0.60,0.48,0.3,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ESRT,"Empire State Realty Trust, Inc. Class A","1,283.9",0.14,0.14,0.1,0.1,0.2,0.4,0.4,0.4,0.4,0.3,0.3,0.1,#N/A,#N/A,#N/A,#N/A
ESS,"Essex Property Trust, Inc.","19,158.6",9.80,9.24,8.8,8.4,8.3,7.8,7.4,7.0,6.4,5.8,5.1,4.8,4.4,4.2,4.1,4.1
ESSA,"ESSA Bancorp, Inc.",204.4,0.60,0.60,0.5,0.5,0.4,0.4,0.4,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.2
ESTA,"Establishment Labs Holdings, Inc.","1,202.1",0.00,0.00,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ESTC,Elastic NV,"9,159.4",0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
ET,Energy Transfer LP,"59,953.2",1.28,1.24,0.9,0.6,1.1,1.2,1.2,1.2,1.1,1.0,0.8,0.7,0.6,0.6,0.5,0.5
